name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Río Grande, Tierra del Fuego, Argentina",2023-01-01,15.2,6,10.7,15.2,1.1,8.8,3,60.1,3,100,4.17,rain,0,0,81.7,62,289.7,985.8,43,21.2,220.9,19.2,6,10,2023-01-01T05:05:08,2023-01-01T22:03:14,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-02,13.4,6,9.6,13.4,0.5,6.8,1.3,57.2,0,0,0,,0,0,96.5,75.5,267.6,984.9,36.2,22.2,365.9,31.6,9,10,2023-01-02T05:06:17,2023-01-02T22:02:58,0.35,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-03,13.8,5,9.4,13.8,0.1,7.1,-0.8,52.3,0,0,0,,0,0,79.6,56.5,254.5,992.9,43.2,22.5,365.6,31.9,9,10,2023-01-03T05:07:30,2023-01-03T22:02:38,0.39,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-04,15.2,5.5,11,15.2,2.3,9.7,1.4,57.1,0.7,100,4.17,rain,0,0,83.5,59.9,251.8,995.3,73.7,19.6,369.8,31.9,10,10,2023-01-04T05:08:46,2023-01-04T22:02:14,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-05,16.1,5.5,11.1,16.1,2.5,10.1,8,82,3,100,4.17,rain,0,0,43.2,27.2,333.8,996.7,88.5,17.1,119.7,10.3,4,10,2023-01-05T05:10:05,2023-01-05T22:01:47,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-06,16.5,7.9,12.7,16.5,4.4,12.2,3.9,57,0.8,100,4.17,rain,0,0,66.2,47.4,295.5,998.3,59.4,22.8,335.7,28.8,8,10,2023-01-06T05:11:27,2023-01-06T22:01:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-07,21.3,5,13.4,21.3,4,12.9,3.8,58.3,0,0,0,,0,0,46.4,37.6,274.3,1004.1,60.7,21.9,334.1,28.8,9,10,2023-01-07T05:12:52,2023-01-07T22:00:41,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-08,15.2,8.6,12,15.2,6.8,11.8,7.9,76.1,0,0,0,,0,0,32.8,30.6,79.7,1006.1,76.6,20.4,313.3,26.9,8,10,2023-01-08T05:14:19,2023-01-08T22:00:02,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE,remote"
"Río Grande, Tierra del Fuego, Argentina",2023-01-09,19.8,9,13.4,19.8,4.9,13.1,5,61.2,0,0,0,,0,0,76,55.4,250.3,1000.7,67.4,18.9,299.1,26,9,10,2023-01-09T05:15:49,2023-01-09T21:59:20,0.59,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-10,15,4,10.6,15,0.9,9.4,4.6,67.3,0,0,0,rain,0,0,52.9,32.4,347.2,1017.8,36,22.2,323.6,28.1,8,10,2023-01-10T05:17:22,2023-01-10T21:58:34,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-11,18.2,3.7,11.6,18.2,2,10.7,6,71.5,0,0,0,rain,0,0,45.4,32.7,265.1,1014.3,68.2,21.6,270.8,23.2,7,10,2023-01-11T05:18:57,2023-01-11T21:57:45,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-12,20,5,13.5,20,3.3,13,7,67.8,0,0,0,rain,0,0,60.1,53.6,289.9,1004.1,78.8,17.6,174.9,15,5,10,2023-01-12T05:20:34,2023-01-12T21:56:53,0.69,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-13,20.8,8.1,14.3,20.8,4,14,5.3,58.1,0,0,0,rain,0,0,87.1,66.6,281.1,994.2,48.8,15.4,273.1,23.7,8,10,2023-01-13T05:22:14,2023-01-13T21:55:57,0.72,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-14,13.6,4,9.6,13.6,-1.6,7.4,1.1,56.3,0,0,0,,0,0,66.2,45.6,271.4,1003.3,54.7,23.2,245.8,21.3,6,10,2023-01-14T05:23:56,2023-01-14T21:54:58,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-15,18,9.9,13.1,18,6.5,12.9,4.4,56.5,0,0,0,rain,0,0,76,57.6,290.2,1003.6,89,18.5,165.3,14.2,4,10,2023-01-15T05:25:39,2023-01-15T21:53:56,0.79,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-16,14.5,7.2,11.7,14.5,3.6,11.2,0.3,48.4,0,0,0,,0,0,77.8,53.4,263,1004,42.5,18.2,307.9,26.6,8,10,2023-01-16T05:27:25,2023-01-16T21:52:50,0.82,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-17,20.1,4,11.9,20.1,-0.2,10.2,2.3,54.1,0,0,0,rain,0,0,55.4,48.6,290.4,1013.1,70.1,21.7,286.7,24.7,9,10,2023-01-17T05:29:12,2023-01-17T21:51:42,0.86,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-18,24,8,17,24,6.5,16.8,8.8,62.2,0,0,0,,0,0,57.6,48.2,271.3,1010.2,45.3,21.4,287.4,25,7,10,2023-01-18T05:31:01,2023-01-18T21:50:30,0.89,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-19,21.8,7,13.8,21.8,4.1,13,6.1,65.2,0.3,100,4.17,rain,0,0,41.8,27.7,282.7,1009.3,51.3,20.5,267.9,23.2,9,10,2023-01-19T05:32:51,2023-01-19T21:49:16,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-20,14.2,8.1,11.5,14.2,5.7,11.1,9.5,87.8,0,0,0,,0,0,42.1,25.9,42.2,1011.8,86.1,20.7,255.6,22.1,7,10,2023-01-20T05:34:43,2023-01-20T21:47:59,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-21,17.5,9,12,17.5,5.3,11.8,8.2,80.6,2,100,4.17,rain,0,0,47.2,34.5,291.7,1005.7,76.6,18.5,172.5,15,6,10,2023-01-21T05:36:36,2023-01-21T21:46:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-22,18.2,2.5,10.3,18.2,-0.6,9.2,2.1,60.5,0,0,0,rain,0,0,44.6,44.1,287.3,1007.6,34.6,22.2,350.4,30.2,9,10,2023-01-22T05:38:31,2023-01-22T21:45:16,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-23,14.7,9.2,11.6,14.7,6.8,11.5,8.7,82.8,0,0,0,,0,0,61.9,41.1,1.7,993.9,89.3,10.7,178.1,15.4,7,10,2023-01-23T05:40:27,2023-01-23T21:43:51,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-24,15.8,1,9.2,15.8,-2.2,7.9,0.3,58.1,0,0,0,,0,0,62.6,60.4,283.5,990.1,30.3,21.3,319.1,27.3,9,10,2023-01-24T05:42:23,2023-01-24T21:42:23,0.09,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2023-01-25,17.7,6.6,12.6,17.7,2.8,12,0.9,46.7,0,0,0,rain,0,0,81.7,56,304.7,986.7,75.6,19.1,278.4,24.1,8,10,2023-01-25T05:44:21,2023-01-25T21:40:52,0.13,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
