name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Río Grande, Tierra del Fuego, Argentina",2021-01-01,19.2,10.0,14.2,19.2,10.0,14.2,11.7,85.7,3.2,100,12.5,rain,0.0,0.0,56.5,40.7,308.7,997.0,71.4,17.8,119.4,10.4,3,,2021-01-01T05:05:41,2021-01-01T22:03:05,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-02,19.7,10.0,14.8,19.7,10.0,14.8,6.3,58.1,0.0,0,0.0,,0.0,0.0,96.5,68.4,273.4,992.6,19.6,21.6,345.3,29.9,8,,2021-01-02T05:06:52,2021-01-02T22:02:47,0.62,Clear,Clear conditions throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-03,16.1,5.0,10.6,16.1,1.3,9.0,4.2,65.4,0.0,0,0.0,,0.0,0.0,72.4,53.6,268.3,1000.0,43.2,21.4,330.6,28.7,9,,2021-01-03T05:08:06,2021-01-03T22:02:25,0.66,Partially cloudy,Partly cloudy throughout the day.,wind,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-04,13.1,5.0,9.8,13.1,0.0,8.2,4.5,70.5,0.0,0,0.0,,0.0,0.0,70.6,48.2,278.6,1011.4,75.7,22.2,190.8,16.6,5,,2021-01-04T05:09:24,2021-01-04T22:02:00,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-05,18.0,6.2,13.0,18.0,3.0,12.1,6.4,65.3,0.0,0,0.0,,0.0,0.0,59.4,38.9,280.9,1012.5,58.9,22.8,229.9,20.0,6,,2021-01-05T05:10:44,2021-01-05T22:01:31,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-06,14.9,9.2,12.1,14.9,6.8,11.9,8.1,76.3,0.0,0,0.0,,0.0,0.0,33.5,25.9,337.0,1005.3,94.5,18.8,171.0,14.7,7,,2021-01-06T05:12:07,2021-01-06T22:00:58,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-07,19.0,6.0,12.9,19.0,2.3,12.1,5.9,65.5,1.0,100,4.17,rain,0.0,0.0,63.0,40.7,268.1,999.5,56.1,21.4,300.2,25.9,8,,2021-01-07T05:13:34,2021-01-07T22:00:21,0.8,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-08,18.0,9.0,12.9,18.0,5.5,12.4,4.8,60.8,0.0,0,0.0,,0.0,0.0,64.8,46.4,287.9,997.7,59.4,13.7,313.6,27.0,8,,2021-01-08T05:15:02,2021-01-08T21:59:41,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-09,13.7,7.0,10.7,13.7,3.8,9.9,6.3,75.2,2.0,100,4.17,rain,0.0,0.0,50.8,35.3,336.6,987.7,84.8,19.8,291.7,25.2,9,,2021-01-09T05:16:34,2021-01-09T21:58:57,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-10,10.0,6.1,8.6,10.0,3.3,5.9,6.4,86.5,22.3,100,16.67,rain,0.0,0.0,51.8,33.5,157.9,982.0,95.3,12.4,76.9,6.6,2,,2021-01-10T05:18:07,2021-01-10T21:58:10,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-11,11.7,2.7,7.4,11.7,-0.5,5.2,2.4,72.4,0.0,0,0.0,,0.0,0.0,66.6,44.6,274.2,996.3,66.7,20.3,261.6,22.6,7,,2021-01-11T05:19:44,2021-01-11T21:57:19,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
"Río Grande, Tierra del Fuego, Argentina",2021-01-12,14.7,3.0,8.8,14.7,-2.5,6.8,1.7,64.0,0.0,0,0.0,,0.0,0.0,58.0,33.5,263.8,1003.6,29.5,22.8,347.1,30.0,9,,2021-01-12T05:21:22,2021-01-12T21:56:25,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87934099999,SAWE"
